Time,del_2,del_3,del_6,del_9,del_10,del_13
0.88245,-0.08716733973,-0.2226263156,-0.2522736457,-0.2596630641,-0.2632886919,-0.2678611524
0.8991,-0.08716765592,-0.2226272528,-0.2522745739,-0.2596639522,-0.263289615,-0.2678621273
0.91575,-0.08716797465,-0.2226281945,-0.2522755066,-0.2596648442,-0.2632905422,-0.2678631064
0.9324,-0.08716829591,-0.2226291407,-0.2522764437,-0.2596657403,-0.2632914733,-0.2678640897
0.94905,-0.08716861967,-0.2226300914,-0.2522773853,-0.2596666403,-0.2632924084,-0.2678650771
0.9657,-0.08716894594,-0.2226310464,-0.2522783313,-0.2596675442,-0.2632933474,-0.2678660686
0.98235,-0.08716927468,-0.2226320059,-0.2522792817,-0.259668452,-0.2632942903,-0.2678670641
0.999,-0.0871696059,-0.2226329696,-0.2522802363,-0.2596693637,-0.263295237,-0.2678680636
1.01565,-0.08716993957,-0.2226339376,-0.2522811953,-0.2596702791,-0.2632961876,-0.2678690671
1.0323,-0.08717027568,-0.2226349099,-0.2522821584,-0.2596711983,-0.2632971418,-0.2678700745
1.04895,-0.08717061422,-0.2226358863,-0.2522831258,-0.2596721213,-0.2632980998,-0.2678710858
1.0656,-0.08717095517,-0.2226368669,-0.2522840973,-0.2596730479,-0.2632990615,-0.2678721008
1.08225,-0.08717129851,-0.2226378516,-0.2522850728,-0.2596739781,-0.2633000268,-0.2678731197
1.0989,-0.08717164424,-0.2226388404,-0.2522860525,-0.259674912,-0.2633009957,-0.2678741423
1.11555,-0.08717199233,-0.2226398332,-0.2522870362,-0.2596758494,-0.2633019681,-0.2678751686
1.1322,-0.08717234278,-0.22264083,-0.2522880238,-0.2596767904,-0.263302944,-0.2678761985
1.14885,-0.08717269556,-0.2226418308,-0.2522890154,-0.2596777348,-0.2633039234,-0.2678772321
1.1655,-0.08717305067,-0.2226428354,-0.2522900109,-0.2596786827,-0.2633049063,-0.2678782692
1.18215,-0.08717340808,-0.222643844,-0.2522910103,-0.259679634,-0.2633058925,-0.2678793099
1.1988,-0.08717376778,-0.2226448563,-0.2522920134,-0.2596805887,-0.263306882,-0.267880354
1.21545,-0.08717412976,-0.2226458724,-0.2522930204,-0.2596815466,-0.2633078749,-0.2678814015
1.2321,-0.087174494,-0.2226468922,-0.252294031,-0.2596825079,-0.263308871,-0.2678824525
1.24875,-0.08717486048,-0.2226479157,-0.2522950453,-0.2596834724,-0.2633098704,-0.2678835067
1.2654,-0.0871752292,-0.2226489429,-0.2522960633,-0.2596844401,-0.2633108729,-0.2678845643
1.28205,-0.08717560012,-0.2226499737,-0.2522970849,-0.259685411,-0.2633118785,-0.2678856252
1.2987,-0.08717597325,-0.222651008,-0.25229811,-0.259686385,-0.2633128872,-0.2678866892
1.31535,-0.08717634855,-0.2226520458,-0.2522991386,-0.259687362,-0.263313899,-0.2678877564
1.332,-0.08717672602,-0.2226530871,-0.2523001707,-0.2596883421,-0.2633149138,-0.2678888267
1.34865,-0.08717710564,-0.2226541318,-0.2523012063,-0.2596893252,-0.2633159315,-0.2678899001
1.3653,-0.08717748739,-0.22265518,-0.2523022452,-0.2596903113,-0.2633169522,-0.2678909766
1.38195,-0.08717787126,-0.2226562314,-0.2523032874,-0.2596913003,-0.2633179757,-0.267892056
1.3986,-0.08717825722,-0.2226572861,-0.2523043329,-0.2596922921,-0.2633190021,-0.2678931383
1.41525,-0.08717864527,-0.2226583441,-0.2523053817,-0.2596932868,-0.2633200312,-0.2678942236
1.4319,-0.08717903539,-0.2226594053,-0.2523064337,-0.2596942842,-0.2633210631,-0.2678953117
1.44855,-0.08717942756,-0.2226604696,-0.2523074888,-0.2596952844,-0.2633220977,-0.2678964026
1.4652,-0.08717982176,-0.2226615371,-0.2523085471,-0.2596962873,-0.263323135,-0.2678974962
1.48185,-0.08718021798,-0.2226626076,-0.2523096084,-0.2596972929,-0.2633241748,-0.2678985926
1.4985,-0.08718061619,-0.2226636812,-0.2523106727,-0.2596983011,-0.2633252173,-0.2678996916
1.51515,-0.08718101639,-0.2226647577,-0.25231174,-0.2596993118,-0.2633262622,-0.2679007932
1.5318,-0.08718141856,-0.2226658371,-0.2523128103,-0.2597003251,-0.2633273097,-0.2679018974
1.54845,-0.08718182267,-0.2226669195,-0.2523138834,-0.2597013409,-0.2633283595,-0.2679030041
1.5651,-0.08718222871,-0.2226680047,-0.2523149594,-0.2597023591,-0.2633294118,-0.2679041133
1.58175,-0.08718263667,-0.2226690926,-0.2523160382,-0.2597033797,-0.2633304664,-0.267905225
1.5984,-0.08718304653,-0.2226701833,-0.2523171197,-0.2597044027,-0.2633315234,-0.267906339
1.61505,-0.08718345826,-0.2226712768,-0.2523182039,-0.259705428,-0.2633325826,-0.2679074553
1.6317,-0.08718387185,-0.2226723728,-0.2523192908,-0.2597064556,-0.263333644,-0.267908574
1.64835,-0.08718428729,-0.2226734715,-0.2523203804,-0.2597074854,-0.2633347075,-0.2679096948
1.665,-0.08718470456,-0.2226745728,-0.2523214724,-0.2597085174,-0.2633357732,-0.2679108179
1.68165,-0.08718512363,-0.2226756766,-0.252322567,-0.2597095516,-0.263336841,-0.2679119431
1.6983,-0.08718554449,-0.2226767828,-0.2523236641,-0.2597105878,-0.2633379108,-0.2679130705
1.71495,-0.08718596712,-0.2226778915,-0.2523247636,-0.2597116262,-0.2633389827,-0.2679141998
1.7316,-0.08718639151,-0.2226790025,-0.2523258655,-0.2597126665,-0.2633400564,-0.2679153312
1.74825,-0.08718681764,-0.2226801159,-0.2523269698,-0.2597137088,-0.2633411321,-0.2679164645
1.7649,-0.08718724548,-0.2226812315,-0.2523280763,-0.259714753,-0.2633422096,-0.2679175998
1.78155,-0.08718767502,-0.2226823494,-0.252329185,-0.2597157991,-0.2633432889,-0.2679187369
1.7982,-0.08718810625,-0.2226834695,-0.252330296,-0.259716847,-0.26334437,-0.2679198758
1.81485,-0.08718853914,-0.2226845917,-0.2523314091,-0.2597178967,-0.2633454528,-0.2679210165
1.8315,-0.08718897367,-0.222685716,-0.2523325243,-0.2597189482,-0.2633465373,-0.2679221589
1.84815,-0.08718940983,-0.2226868424,-0.2523336416,-0.2597200014,-0.2633476234,-0.267923303
1.8648,-0.0871898476,-0.2226879708,-0.2523347609,-0.2597210563,-0.2633487111,-0.2679244487
1.88145,-0.08719028695,-0.2226891011,-0.2523358822,-0.2597221127,-0.2633498003,-0.267925596
