Time,del_2,del_3,del_6,del_8,del_10,del_13
0.8991,-0.08725973354,-0.2228018754,-0.2524639526,-0.755968834,-0.2634572001,-0.2680478227
0.91575,-0.08725971875,-0.2228017932,-0.2524638752,-0.7559688869,-0.2634571193,-0.268047728
0.9324,-0.08725970287,-0.2228017089,-0.2524637958,-0.7559689379,-0.2634570367,-0.2680476312
0.94905,-0.08725968591,-0.2228016224,-0.2524637144,-0.755968987,-0.2634569521,-0.2680475324
0.9657,-0.08725966787,-0.2228015337,-0.2524636309,-0.7559690341,-0.2634568657,-0.2680474317
0.98235,-0.08725964875,-0.2228014427,-0.2524635454,-0.7559690792,-0.2634567774,-0.2680473289
0.999,-0.08725962855,-0.2228013496,-0.2524634579,-0.7559691225,-0.2634566873,-0.2680472241
1.01565,-0.08725960728,-0.2228012543,-0.2524633683,-0.7559691638,-0.2634565953,-0.2680471174
1.0323,-0.08725958492,-0.2228011568,-0.2524632768,-0.7559692031,-0.2634565014,-0.2680470086
1.04895,-0.08725956149,-0.2228010572,-0.2524631832,-0.7559692406,-0.2634564057,-0.2680468979
1.0656,-0.08725953698,-0.2228009553,-0.2524630876,-0.755969276,-0.2634563081,-0.2680467852
1.08225,-0.0872595114,-0.2228008513,-0.2524629901,-0.7559693096,-0.2634562087,-0.2680466705
1.0989,-0.08725948474,-0.2228007451,-0.2524628905,-0.7559693412,-0.2634561074,-0.2680465538
1.11555,-0.08725945702,-0.2228006368,-0.2524627889,-0.7559693708,-0.2634560043,-0.2680464352
1.1322,-0.08725942822,-0.2228005263,-0.2524626853,-0.7559693985,-0.2634558993,-0.2680463146
1.14885,-0.08725939836,-0.2228004137,-0.2524625798,-0.7559694243,-0.2634557926,-0.2680461921
1.1655,-0.08725936743,-0.2228002989,-0.2524624723,-0.7559694481,-0.263455684,-0.2680460676
1.18215,-0.08725933543,-0.222800182,-0.2524623627,-0.75596947,-0.2634555736,-0.2680459412
1.1988,-0.08725930237,-0.222800063,-0.2524622513,-0.7559694899,-0.2634554613,-0.2680458129
1.21545,-0.08725926825,-0.2227999418,-0.2524621378,-0.7559695079,-0.2634553473,-0.2680456826
1.2321,-0.08725923307,-0.2227998185,-0.2524620224,-0.7559695239,-0.2634552315,-0.2680455504
1.24875,-0.08725919683,-0.2227996931,-0.2524619051,-0.755969538,-0.2634551138,-0.2680454163
1.2654,-0.08725915953,-0.2227995656,-0.2524617858,-0.7559695501,-0.2634549944,-0.2680452803
1.28205,-0.08725912117,-0.222799436,-0.2524616646,-0.7559695603,-0.2634548732,-0.2680451424
1.2987,-0.08725908177,-0.2227993043,-0.2524615414,-0.7559695686,-0.2634547502,-0.2680450025
1.31535,-0.08725904131,-0.2227991704,-0.2524614163,-0.7559695749,-0.2634546254,-0.2680448608
1.332,-0.0872589998,-0.2227990345,-0.2524612892,-0.7559695792,-0.2634544989,-0.2680447172
1.34865,-0.08725895725,-0.2227988966,-0.2524611603,-0.7559695816,-0.2634543705,-0.2680445717
1.3653,-0.08725891365,-0.2227987565,-0.2524610294,-0.7559695821,-0.2634542405,-0.2680444244
1.38195,-0.087258869,-0.2227986144,-0.2524608966,-0.7559695806,-0.2634541086,-0.2680442752
1.3986,-0.08725882332,-0.2227984702,-0.2524607619,-0.7559695772,-0.2634539751,-0.2680441241
1.41525,-0.08725877659,-0.222798324,-0.2524606254,-0.7559695718,-0.2634538398,-0.2680439712
1.4319,-0.08725872883,-0.2227981757,-0.2524604869,-0.7559695645,-0.2634537027,-0.2680438164
1.44855,-0.08725868003,-0.2227980254,-0.2524603465,-0.7559695552,-0.2634535639,-0.2680436598
1.4652,-0.0872586302,-0.222797873,-0.2524602043,-0.755969544,-0.2634534235,-0.2680435013
1.48185,-0.08725857935,-0.2227977186,-0.2524600602,-0.7559695309,-0.2634532812,-0.2680433411
1.4985,-0.08725852746,-0.2227975622,-0.2524599142,-0.7559695158,-0.2634531373,-0.268043179
1.51515,-0.08725847455,-0.2227974038,-0.2524597664,-0.7559694988,-0.2634529917,-0.2680430151
1.5318,-0.08725842061,-0.2227972434,-0.2524596167,-0.7559694798,-0.2634528444,-0.2680428494
1.54845,-0.08725836566,-0.2227970809,-0.2524594652,-0.7559694589,-0.2634526953,-0.2680426819
1.5651,-0.08725830968,-0.2227969165,-0.2524593118,-0.7559694361,-0.2634525446,-0.2680425126
1.58175,-0.0872582527,-0.2227967501,-0.2524591566,-0.7559694113,-0.2634523923,-0.2680423416
1.5984,-0.08725819469,-0.2227965817,-0.2524589996,-0.7559693846,-0.2634522382,-0.2680421687
1.61505,-0.08725813568,-0.2227964114,-0.2524588408,-0.755969356,-0.2634520825,-0.2680419941
1.6317,-0.08725807566,-0.2227962391,-0.2524586802,-0.7559693254,-0.2634519252,-0.2680418178
1.64835,-0.08725801464,-0.2227960648,-0.2524585177,-0.755969293,-0.2634517661,-0.2680416397
1.665,-0.08725795262,-0.2227958886,-0.2524583535,-0.7559692585,-0.2634516055,-0.2680414598
1.68165,-0.08725788959,-0.2227957104,-0.2524581874,-0.7559692222,-0.2634514432,-0.2680412782
1.6983,-0.08725782557,-0.2227955303,-0.2524580196,-0.755969184,-0.2634512793,-0.2680410949
1.71495,-0.08725776056,-0.2227953483,-0.25245785,-0.7559691438,-0.2634511137,-0.2680409099
1.7316,-0.08725769456,-0.2227951644,-0.2524576787,-0.7559691017,-0.2634509466,-0.2680407232
1.74825,-0.08725762756,-0.2227949786,-0.2524575056,-0.7559690577,-0.2634507778,-0.2680405347
1.7649,-0.08725755959,-0.2227947908,-0.2524573307,-0.7559690118,-0.2634506074,-0.2680403446
1.78155,-0.08725749063,-0.2227946012,-0.2524571541,-0.755968964,-0.2634504355,-0.2680401528
1.7982,-0.0872574207,-0.2227944097,-0.2524569757,-0.7559689143,-0.2634502619,-0.2680399593
1.81485,-0.08725734979,-0.2227942163,-0.2524567957,-0.7559688626,-0.2634500868,-0.2680397641
1.8315,-0.08725727791,-0.2227940211,-0.2524566139,-0.7559688091,-0.2634499101,-0.2680395673
1.84815,-0.08725720506,-0.222793824,-0.2524564304,-0.7559687537,-0.2634497319,-0.2680393688
1.8648,-0.08725713124,-0.222793625,-0.2524562452,-0.7559686963,-0.2634495521,-0.2680391687
1.88145,-0.08725705646,-0.2227934242,-0.2524560583,-0.7559686371,-0.2634493707,-0.268038967
1.8981,-0.08725698073,-0.2227932216,-0.2524558697,-0.755968576,-0.2634491879,-0.2680387636
1.91475,-0.08725690404,-0.2227930172,-0.2524556794,-0.755968513,-0.2634490034,-0.2680385586
1.9314,-0.08725682639,-0.2227928109,-0.2524554875,-0.7559684481,-0.2634488175,-0.268038352
1.94805,-0.0872567478,-0.2227926029,-0.2524552939,-0.7559683814,-0.2634486301,-0.2680381438
1.9647,-0.08725666827,-0.222792393,-0.2524550986,-0.7559683127,-0.2634484411,-0.268037934
1.98135,-0.08725658779,-0.2227921814,-0.2524549017,-0.7559682422,-0.2634482507,-0.2680377227
1.998,-0.08635441071,-0.2212167515,-0.2428892585,-0.7524681544,-0.256926135,-0.2565430527
2.01465,-0.08612989359,-0.2206989049,-0.241766389,-0.7515904652,-0.2558816633,-0.2553551853
2.0313,-0.08600555624,-0.2204172252,-0.2411468627,-0.7510587778,-0.2553407422,-0.2547288626
2.04795,-0.08590585186,-0.2202033805,-0.2406483321,-0.75061179,-0.2549222823,-0.2542361721
2.0646,-0.08581048668,-0.2200067566,-0.2401763175,-0.7501776816,-0.2545302811,-0.2537729014
2.08125,-0.085715548,-0.2198149666,-0.2397159093,-0.7497441333,-0.2541469311,-0.253321517
2.0979,-0.08562206495,-0.2196278098,-0.2392739671,-0.7493172538,-0.2537759762,-0.2528878765
2.11455,-0.08553243778,-0.219448769,-0.2388623748,-0.7489082858,-0.2534266341,-0.2524833293
2.1312,-0.08544926142,-0.2192821354,-0.2384929739,-0.7485290651,-0.2531086395,-0.2521193924
2.14785,-0.08537490194,-0.219131979,-0.238175724,-0.7481903218,-0.2528305505,-0.2518058317
2.1645,-0.08531132354,-0.2190017458,-0.2379181371,-0.7479009577,-0.2525991009,-0.2515500796
2.18115,-0.0852600093,-0.2188940858,-0.2377249613,-0.747667703,-0.2524189435,-0.2513568976
2.1978,-0.08522192602,-0.2188107781,-0.2375982457,-0.7474949577,-0.2522925782,-0.2512284378
2.21445,-0.08519751678,-0.218752711,-0.2375373664,-0.7473847536,-0.2522203925,-0.2511642477
2.2311,-0.08518671461,-0.2187198976,-0.2375393248,-0.7473368098,-0.2522007859,-0.2511615632
2.24775,-0.0851889742,-0.2187115225,-0.2375989509,-0.7473486695,-0.2522303603,-0.251215487
2.2644,-0.08520331877,-0.2187260118,-0.2377093371,-0.7474159059,-0.2523041626,-0.2513194154
2.28105,-0.08522839935,-0.2187611253,-0.2378621398,-0.7475323848,-0.2524159674,-0.251465315
2.2977,-0.08526256381,-0.2188140644,-0.2380480773,-0.7476905739,-0.2525585854,-0.2516442138
2.31435,-0.08530393245,-0.2188815927,-0.2382572583,-0.7478818829,-0.2527241859,-0.251846508
2.331,-0.08535047728,-0.2189601648,-0.2384796768,-0.7480970236,-0.252904621,-0.252062453
2.34765,-0.08540010192,-0.2190460579,-0.2387055066,-0.7483263742,-0.2530917392,-0.2522824407
2.3643,-0.08545071936,-0.2191355036,-0.2389255354,-0.7485603366,-0.2532776788,-0.252497435
2.38095,-0.08550032497,-0.2192248129,-0.239131377,-0.748789674,-0.2534551319,-0.2526991715
2.3976,-0.08554706235,-0.2193104943,-0.2393158055,-0.7490058177,-0.2536175707,-0.2528804988
2.41425,-0.08558928031,-0.2193893574,-0.2394728539,-0.7492011342,-0.2537594314,-0.2530354695
2.4309,-0.08562557927,-0.2194586029,-0.2395980279,-0.7493691449,-0.2538762515,-0.2531595656
2.44755,-0.08565484604,-0.2195158939,-0.2396882807,-0.7495046935,-0.2539647576,-0.2532496702
2.4642,-0.08567627657,-0.2195594086,-0.2397421052,-0.7496040569,-0.2540229054,-0.2533041742
2.48085,-0.08568938621,-0.2195878735,-0.2397593929,-0.7496649994,-0.2540498718,-0.2533228345
2.4975,-0.08569400816,-0.2196005752,-0.239741421,-0.7496867704,-0.254046004,-0.2533067777
2.51415,-0.08569028053,-0.2195973543,-0.2396906192,-0.7496700494,-0.2540127286,-0.2532582668
2.5308,-0.08567862339,-0.2195785802,-0.2396104801,-0.749616842,-0.2539524284,-0.2531806289
2.54745,-0.08565970699,-0.2195451095,-0.2395052681,-0.7495303346,-0.2538682925,-0.2530779624
2.5641,-0.08563441303,-0.2194982308,-0.2393798899,-0.749414714,-0.2537641474,-0.252955024
2.58075,-0.08560379065,-0.2194395977,-0.2392395821,-0.7492749614,-0.253644276,-0.2528169129
2.5974,-0.0855690091,-0.2193711535,-0.2390897792,-0.7491166287,-0.2535132333,-0.2526689524
2.61405,-0.0855313091,-0.2192950503,-0.2389358149,-0.7489456075,-0.2533756643,-0.2525163866
2.6307,-0.08549195454,-0.2192135659,-0.2387828194,-0.7487678985,-0.2532361315,-0.2523642872
2.64735,-0.08545218652,-0.2191290214,-0.2386354633,-0.7485893904,-0.2530989575,-0.25221729
2.664,-0.08541318099,-0.2190437016,-0.2384979061,-0.748415655,-0.2529680866,-0.2520795515
2.68065,-0.08537601143,-0.2189597823,-0.2383735997,-0.7482517662,-0.2528469708,-0.2519545418
2.6973,-0.08534161765,-0.2188792644,-0.2382653013,-0.7481021472,-0.2527384802,-0.251845063
2.71395,-0.08531078128,-0.2188039185,-0.2381749421,-0.7479704497,-0.2526448416,-0.251753106
2.7306,-0.08528410854,-0.2187352402,-0.2381037051,-0.7478594691,-0.2525676035,-0.2516799326
2.74725,-0.08526202036,-0.218674417,-0.2380519551,-0.747771094,-0.2525076288,-0.2516259924
2.7639,-0.0852447498,-0.2186223083,-0.2380193736,-0.7477062926,-0.2524651113,-0.2515910613
2.78055,-0.08523234624,-0.2185794361,-0.2380049375,-0.7476651328,-0.2524396164,-0.2515742078
2.7972,-0.08522468596,-0.2185459892,-0.2380070957,-0.7476468334,-0.2524301396,-0.2515739731
2.81385,-0.08522148806,-0.2185218367,-0.2380237807,-0.7476498432,-0.252435183,-0.2515883708
2.8305,-0.085222335,-0.2185065523,-0.2380526081,-0.7476719433,-0.2524528424,-0.2516150914
2.84715,-0.0852266966,-0.2184994465,-0.2380909014,-0.7477103669,-0.2524809042,-0.2516515169
2.8638,-0.08523395644,-0.2184996063,-0.2381358968,-0.7477619329,-0.2525169453,-0.2516949311
2.88045,-0.08524343958,-0.2185059391,-0.2381847633,-0.7478231855,-0.2525584348,-0.2517425317
2.8971,-0.08525444047,-0.2185172204,-0.2382347961,-0.7478905362,-0.2526028309,-0.2517916306
2.91375,-0.08526625007,-0.218532143,-0.2382834178,-0.7479604019,-0.2526476732,-0.2518396482
2.9304,-0.08527818126,-0.218549366,-0.2383283473,-0.7480293344,-0.2526906643,-0.2518842914
2.94705,-0.08528959175,-0.2185675619,-0.2383675737,-0.7480941376,-0.2527297405,-0.2519235206
2.9637,-0.08529990379,-0.2185854602,-0.2383994928,-0.7481519684,-0.2527631294,-0.2519556972
2.98035,-0.08530862029,-0.2186018866,-0.2384228486,-0.7482004185,-0.2527893927,-0.2519795184
2.997,-0.08531533692,-0.2186157965,-0.2384368365,-0.7482375757,-0.2528074546,-0.2519941324
3.01365,-0.08531975007,-0.2186263019,-0.2384410132,-0.7482620633,-0.2528166145,-0.2519990411
3.0303,-0.08532166068,-0.2186326918,-0.2384353693,-0.7482730576,-0.2528165466,-0.2519941848
3.04695,-0.08532097409,-0.2186344449,-0.238420212,-0.7482702838,-0.2528072849,-0.251979818
3.0636,-0.08531769613,-0.2186312351,-0.2383962146,-0.7482539926,-0.2527891972,-0.2519565699
3.08025,-0.08531192598,-0.2186229306,-0.2383642797,-0.7482249184,-0.2527629487,-0.2519253006
3.0969,-0.08530384609,-0.2186095856,-0.2383255743,-0.7481842229,-0.2527294574,-0.251887146
3.11355,-0.08529370997,-0.2185914272,-0.2382813831,-0.7481334258,-0.2526898437,-0.2518433638
3.1302,-0.08528182817,-0.2185688366,-0.2382331388,-0.7480743275,-0.2526453768,-0.2517953724
3.14685,-0.08526855334,-0.2185423267,-0.2381822748,-0.7480089253,-0.2525974182,-0.2517445951
3.1635,-0.08525426479,-0.218512516,-0.2381302591,-0.7479393285,-0.2525473675,-0.2516925029
3.18015,-0.08523935321,-0.2184801017,-0.238078455,-0.7478676738,-0.2524966094,-0.2516404651
3.1968,-0.08522420605,-0.2184458308,-0.2380281654,-0.7477960458,-0.2524464656,-0.2515898018
3.21345,-0.08520919415,-0.2184104721,-0.2379805066,-0.7477264038,-0.2523981523,-0.2515416479
3.2301,-0.08519465984,-0.2183747888,-0.2379364682,-0.7476605183,-0.252352744,-0.2514970199
3.24675,-0.08518090695,-0.2183395132,-0.2378968028,-0.7475999178,-0.2523111457,-0.2514566962
3.2634,-0.08516819291,-0.2183053243,-0.2378621028,-0.7475458488,-0.2522740726,-0.2514213003
3.28005,-0.08515672308,-0.2182728283,-0.237832707,-0.7474992479,-0.2522420379,-0.2513911982
3.2967,-0.0851466473,-0.2182425434,-0.2378087927,-0.7474607275,-0.2522153489,-0.2513665973
3.31335,-0.08513805872,-0.2182148874,-0.237790298,-0.7474305744,-0.252194111,-0.2513474592
3.33,-0.08513099468,-0.2181901712,-0.2377770259,-0.7474087601,-0.252178238,-0.2513336114
3.34665,-0.08512543954,-0.2181685947,-0.2377685782,-0.7473949627,-0.2521674688,-0.2513246719
3.3633,-0.08512132909,-0.2181502476,-0.2377644689,-0.7473885972,-0.2521613892,-0.2513201704
3.37995,-0.08511855645,-0.218135114,-0.2377640636,-0.7473888549,-0.2521594577,-0.2513194797
3.3966,-0.08511697897,-0.2181230793,-0.2377666978,-0.7473947471,-0.2521610335,-0.2513219415
3.41325,-0.08511642587,-0.2181139411,-0.2377716181,-0.7474051538,-0.2521654067,-0.2513267998
3.4299,-0.08511670638,-0.2181074219,-0.2377780996,-0.7474188731,-0.252171828,-0.251333327
3.44655,-0.08511761784,-0.2181031827,-0.237785385,-0.7474346708,-0.2521795389,-0.2513407554
3.4632,-0.08511895375,-0.2181008395,-0.2377927976,-0.7474513285,-0.2521877987,-0.2513483987
