Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
1.1322,1.044594356,1.009534102,1.069493427,1.089567264,1.032589241,1.046681238
1.14885,1.044594054,1.009533636,1.069492961,1.0895668,1.03258882,1.04668079
1.1655,1.044593753,1.00953317,1.069492496,1.089566336,1.0325884,1.046680344
1.18215,1.044593452,1.009532706,1.069492032,1.089565873,1.032587981,1.046679899
1.1988,1.044593152,1.009532243,1.06949157,1.08956541,1.032587563,1.046679455
1.21545,1.044592852,1.009531781,1.069491108,1.089564947,1.032587147,1.046679012
1.2321,1.044592553,1.00953132,1.069490648,1.089564484,1.032586731,1.04667857
1.24875,1.044592255,1.00953086,1.069490189,1.089564022,1.032586316,1.04667813
1.2654,1.044591957,1.009530402,1.069489732,1.089563559,1.032585903,1.046677691
1.28205,1.04459166,1.009529945,1.069489275,1.089563097,1.03258549,1.046677253
1.2987,1.044591363,1.009529489,1.06948882,1.089562636,1.032585079,1.046676817
1.31535,1.044591067,1.009529034,1.069488366,1.089562174,1.032584669,1.046676382
1.332,1.044590772,1.00952858,1.069487913,1.089561714,1.032584261,1.046675948
1.34865,1.044590478,1.009528128,1.069487461,1.089561253,1.032583853,1.046675515
1.3653,1.044590184,1.009527677,1.069487011,1.089560793,1.032583447,1.046675084
1.38195,1.044589891,1.009527228,1.069486563,1.089560333,1.032583041,1.046674654
1.3986,1.044589599,1.009526779,1.069486115,1.089559874,1.032582638,1.046674226
1.41525,1.044589308,1.009526332,1.069485669,1.089559415,1.032582235,1.046673799
1.4319,1.044589017,1.009525887,1.069485224,1.089558957,1.032581834,1.046673374
1.44855,1.044588727,1.009525443,1.069484781,1.089558499,1.032581434,1.04667295
1.4652,1.044588438,1.009525,1.069484339,1.089558041,1.032581035,1.046672527
1.48185,1.044588149,1.009524559,1.069483899,1.089557584,1.032580638,1.046672106
1.4985,1.044587862,1.009524119,1.06948346,1.089557128,1.032580242,1.046671686
1.51515,1.044587575,1.009523681,1.069483023,1.089556672,1.032579847,1.046671268
1.5318,1.044587289,1.009523244,1.069482587,1.089556217,1.032579454,1.046670852
1.54845,1.044587004,1.009522809,1.069482152,1.089555763,1.032579062,1.046670437
1.5651,1.04458672,1.009522375,1.06948172,1.089555309,1.032578672,1.046670023
1.58175,1.044586436,1.009521943,1.069481288,1.089554855,1.032578283,1.046669611
1.5984,1.044586154,1.009521512,1.069480859,1.089554403,1.032577895,1.046669201
1.61505,1.044585872,1.009521083,1.069480431,1.089553951,1.032577509,1.046668792
1.6317,1.044585591,1.009520655,1.069480004,1.089553499,1.032577125,1.046668385
1.64835,1.044585312,1.009520229,1.069479579,1.089553049,1.032576742,1.04666798
1.665,1.044585033,1.009519805,1.069479156,1.089552599,1.03257636,1.046667576
1.68165,1.044584755,1.009519382,1.069478734,1.08955215,1.03257598,1.046667174
1.6983,1.044584478,1.009518961,1.069478314,1.089551702,1.032575602,1.046666774
1.71495,1.044584202,1.009518542,1.069477896,1.089551254,1.032575225,1.046666375
1.7316,1.044583927,1.009518124,1.06947748,1.089550807,1.03257485,1.046665979
1.74825,1.044583652,1.009517708,1.069477065,1.089550361,1.032574476,1.046665583
1.7649,1.044583379,1.009517294,1.069476652,1.089549916,1.032574104,1.04666519
1.78155,1.044583107,1.009516882,1.069476241,1.089549472,1.032573733,1.046664799
1.7982,1.044582836,1.009516471,1.069475831,1.089549029,1.032573365,1.046664409
1.81485,1.044582566,1.009516062,1.069475423,1.089548586,1.032572997,1.046664021
1.8315,1.044582297,1.009515655,1.069475017,1.089548145,1.032572632,1.046663635
1.84815,1.044582029,1.00951525,1.069474613,1.089547704,1.032572268,1.04666325
1.8648,1.044581762,1.009514847,1.069474211,1.089547265,1.032571906,1.046662868
1.88145,1.044581496,1.009514445,1.069473811,1.089546826,1.032571545,1.046662487
1.8981,1.044581231,1.009514045,1.069473412,1.089546388,1.032571187,1.046662109
1.91475,1.044580967,1.009513648,1.069473016,1.089545952,1.03257083,1.046661732
1.9314,1.044580705,1.009513252,1.069472621,1.089545516,1.032570475,1.046661357
1.94805,1.044580443,1.009512858,1.069472228,1.089545081,1.032570121,1.046660984
1.9647,1.044580183,1.009512466,1.069471838,1.089544648,1.032569769,1.046660613
1.98135,1.044579924,1.009512075,1.069471449,1.089544215,1.03256942,1.046660244
1.998,1.046292521,1.011361241,1.07583158,1.092426275,1.03677766,1.05426834
2.01465,1.046490367,1.011610106,1.076141729,1.092719437,1.03711945,1.054620626
2.0313,1.046610676,1.011768786,1.076367887,1.092906223,1.037328509,1.054851263
2.04795,1.04671196,1.011902608,1.076570481,1.093064131,1.037504329,1.055052102
2.0646,1.046808191,1.012028229,1.076761534,1.093210657,1.037667707,1.055240173
2.08125,1.046902244,1.012149939,1.076943867,1.093350336,1.037824035,1.055419552
2.0979,1.046993662,1.012267814,1.077116459,1.093483336,1.037973364,1.055589602
2.11455,1.047081067,1.012380549,1.077277034,1.093608396,1.038114011,1.055748199
2.1312,1.047162964,1.012486524,1.077423179,1.093723954,1.038243956,1.05589299
2.14785,1.047238039,1.012584228,1.077552892,1.09382861,1.038361388,1.056021995
2.1645,1.047305275,1.012672428,1.077664748,1.093921316,1.038464929,1.056133775
2.18115,1.047363994,1.012750242,1.077758011,1.094001441,1.038553709,1.056227554
2.1978,1.047413862,1.012817164,1.077832593,1.094068794,1.038627388,1.05630318
2.21445,1.047454885,1.012873062,1.077889058,1.094123604,1.038686136,1.056361137
2.2311,1.047487383,1.01291816,1.077928524,1.09416649,1.038730604,1.056402449
2.24775,1.047511959,1.012953017,1.077952628,1.094198421,1.038761871,1.056428652
2.2644,1.047529463,1.012978484,1.077963404,1.09422066,1.038781387,1.056441673
2.28105,1.047540945,1.012995667,1.077963221,1.09423471,1.038790907,1.056443778
2.2977,1.047547611,1.013005872,1.07795465,1.09424225,1.038792415,1.05643744
2.31435,1.047550766,1.013010559,1.077940396,1.094245072,1.038788045,1.056425278
2.331,1.047551769,1.013011282,1.077923158,1.09424501,1.038780004,1.056409914
2.34765,1.047551979,1.013009634,1.077905565,1.09424388,1.038770485,1.056393923
2.3643,1.047552708,1.013007191,1.077890051,1.094243414,1.038761593,1.056379698
2.38095,1.047555173,1.013005462,1.07787881,1.094245203,1.038755276,1.056369413
2.3976,1.047560464,1.013005836,1.077873694,1.094250649,1.038753256,1.056364916
