 V1_mag, V2_mag, V3_mag, V4_mag, V5_mag, V6_mag, V7_mag, V8_mag, V9_mag, V10_mag, V11_mag, V12_mag, V13_mag, V14_mag
1.06831154021,1.04591627899,0.983259450198,1.01496038111,1.00751134345,1.05098826358,1.03240617673,1.07269652735,1.01597577768,1.00871997743,1.02665590645,1.02952821171,1.01748806981,0.999109263515
1.06837086259,1.04594924021,0.983273777008,1.01503531464,1.00758390101,1.05127057202,1.03267775872,1.07279490458,1.0164435858,1.00921952356,1.02704868554,1.02988313179,1.01790851506,0.999550564025
1.06836710034,1.04597270335,0.98331150158,1.01504095898,1.00758288373,1.05110806163,1.03253668807,1.07274977888,1.01616449565,1.00896423763,1.02683944044,1.02969475477,1.01770976482,0.999308240208
1.06833707191,1.04596278895,0.983306439314,1.01504269451,1.00757972959,1.05109993697,1.03259159876,1.07272713584,1.01628534356,1.00912229588,1.0269154986,1.02972847432,1.01779780237,0.999414717589
1.06844515367,1.04606669268,0.983407230188,1.01513164333,1.00767269846,1.05125888745,1.03269825075,1.07283043552,1.01641640251,1.00919279174,1.02703014489,1.02986356637,1.01788817003,0.999532332237
1.06833917489,1.04590969977,0.983234811545,1.01498574259,1.00753231236,1.05109955842,1.03247596913,1.07274564726,1.01608424871,1.00883936867,1.02677242351,1.02964944086,1.01761336517,0.99922892531
1.06823484618,1.0457994031,0.983129083435,1.01487619439,1.00742780623,1.0510263896,1.03243315469,1.07265557501,1.0161005852,1.00885329429,1.0267422184,1.0296021457,1.0175872809,0.999221526195
1.0683040319,1.04588712487,0.983222802219,1.01495344986,1.00750246404,1.05108087635,1.03244196071,1.07271018483,1.0160389005,1.00880422463,1.02674593784,1.0296339568,1.01760484951,0.999206586053
1.06825609374,1.04582768629,0.983162904875,1.01489972107,1.00745458438,1.05108599607,1.03249524991,1.07267984075,1.01621219262,1.00893541015,1.02681535531,1.02966500169,1.0176447886,0.999323531572
1.06835848682,1.04592767334,0.983255947438,1.01501238635,1.00756225073,1.05119949297,1.03261897225,1.07278638685,1.01634536728,1.00910901096,1.02695985569,1.0297962657,1.01780537318,0.999469066214
1.06833946192,1.04590709832,0.983230568692,1.01498890425,1.00754054623,1.05122725531,1.03263478753,1.07276945671,1.01639492543,1.00915835441,1.0269989658,1.02983764794,1.01785437493,0.999514673173
1.0682807175,1.04584801475,0.983181274887,1.01490345714,1.00745901251,1.05097324722,1.03234983025,1.07269105141,1.01588052173,1.0086387664,1.02660693687,1.02950555912,1.01745485794,0.999041439389
1.0683328558,1.04590836217,0.983238344676,1.01498463165,1.00753382377,1.05118734714,1.03260574998,1.07275318543,1.01634913915,1.00912075579,1.02695871116,1.02978599988,1.01779672312,0.999460917946
1.068319337,1.04587739355,0.983208071488,1.01493832458,1.00749625903,1.05110617735,1.0324714421,1.0727370531,1.01611417707,1.00880931214,1.02676128947,1.02964544236,1.01757573391,0.999244312458
1.06831377505,1.04586885184,0.983190086061,1.01496987149,1.00752026946,1.051151333,1.03257599986,1.07275854806,1.01628224448,1.00907874339,1.02692053807,1.02975714829,1.01779034899,0.999415444489
1.06831461242,1.04589440428,0.983226195067,1.01498188139,1.0075291826,1.0511942367,1.03259412071,1.07273880295,1.01632244225,1.00911738908,1.02696085147,1.02980894901,1.01783881312,0.999464641443
1.06826803233,1.04584358406,0.983177240555,1.01493790145,1.00748865386,1.05106132956,1.03250515273,1.07269295028,1.01617191674,1.00900333543,1.02683523746,1.02967161663,1.01772730855,0.999306911958
1.0683097468,1.04589981445,0.983236419901,1.01497923044,1.0075243111,1.05116032826,1.03257136629,1.07272321077,1.01629946492,1.00906006899,1.0269165743,1.0297603519,1.01776809175,0.999433630573
1.06829932019,1.04584605353,0.983168647158,1.01493725968,1.00749363209,1.05110712973,1.03251479197,1.07274124169,1.01618245193,1.00896905066,1.02684049936,1.02969476663,1.01770748124,0.999314243645
1.06828305874,1.0458158674,0.983129726778,1.01489532354,1.00745407186,1.05108738501,1.03245459568,1.07273080381,1.01610054407,1.00884282309,1.02676818561,1.02964455632,1.01760436937,0.999238305614
1.06829525017,1.04583063845,0.98315486053,1.01492398744,1.00748496138,1.05117645591,1.03256738,1.07275053725,1.01628634972,1.00906814132,1.02692645595,1.02977684426,1.01779226391,0.999417505824
1.06825118045,1.04576952112,0.983084879028,1.01485882403,1.007422422,1.05110735456,1.03247984622,1.07272241646,1.016158183,1.00890486719,1.02680965436,1.02967517295,1.01765221208,0.999294092961
1.06831254156,1.04584706105,0.983168285805,1.01494937925,1.00751022978,1.05120684116,1.03261075796,1.07277616249,1.01635594965,1.00916042252,1.02698775172,1.02982668204,1.01786852724,0.999487488521
1.06830336602,1.04584432328,0.983163587261,1.01494927432,1.0075036947,1.05118519658,1.03258426827,1.07275857561,1.016311643,1.00910219066,1.02694967975,1.02979315536,1.01782439956,0.999453900021
1.06829590066,1.04586485585,0.983192064063,1.01495481453,1.00750701362,1.05115383258,1.03255910035,1.07272993345,1.01626439587,1.00906385656,1.02691229621,1.02976285718,1.01779439704,0.999402057392
1.06824209117,1.04578495557,0.983112409036,1.01488174132,1.00743875887,1.05115252528,1.03253452448,1.07269072147,1.01629890293,1.00906757461,1.0269162707,1.02975519601,1.01776717575,0.999423739644
1.06823969221,1.04578787212,0.983115483549,1.01484232772,1.00740459131,1.05100425502,1.03239009139,1.07267195891,1.01600861063,1.00871828728,1.02666297978,1.02954186945,1.01747043494,0.999135119663
