Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
1.1322,1.044720168,1.009768929,1.06974406,1.08976634,1.032822721,1.046932917
1.14885,1.044720791,1.009769796,1.069744978,1.089767629,1.032823536,1.046933767
1.1655,1.044721408,1.009770655,1.069745888,1.089768909,1.032824343,1.046934608
1.18215,1.044722021,1.009771504,1.069746788,1.089770181,1.032825141,1.046935439
1.1988,1.04472263,1.009772345,1.069747678,1.089771444,1.03282593,1.046936262
1.21545,1.044723233,1.009773176,1.069748559,1.089772699,1.03282671,1.046937075
1.2321,1.044723832,1.009773999,1.069749431,1.089773945,1.032827481,1.046937879
1.24875,1.044724425,1.009774813,1.069750293,1.089775182,1.032828244,1.046938673
1.2654,1.044725014,1.009775617,1.069751146,1.08977641,1.032828997,1.046939458
1.28205,1.044725598,1.009776413,1.069751989,1.08977763,1.032829742,1.046940233
1.2987,1.044726177,1.009777199,1.069752823,1.089778841,1.032830477,1.046940999
1.31535,1.044726751,1.009777976,1.069753647,1.089780043,1.032831204,1.046941756
1.332,1.04472732,1.009778745,1.069754461,1.089781237,1.032831921,1.046942503
1.34865,1.044727884,1.009779504,1.069755266,1.089782421,1.03283263,1.04694324
1.3653,1.044728444,1.009780253,1.069756061,1.089783596,1.032833329,1.046943968
1.38195,1.044728998,1.009780994,1.069756846,1.089784762,1.03283402,1.046944686
1.3986,1.044729547,1.009781725,1.069757622,1.08978592,1.032834701,1.046945395
1.41525,1.044730091,1.009782447,1.069758388,1.089787067,1.032835373,1.046946094
1.4319,1.04473063,1.00978316,1.069759144,1.089788206,1.032836036,1.046946783
1.44855,1.044731163,1.009783863,1.06975989,1.089789336,1.032836689,1.046947463
1.4652,1.044731692,1.009784557,1.069760626,1.089790456,1.032837334,1.046948132
1.48185,1.044732215,1.009785242,1.069761352,1.089791567,1.032837969,1.046948792
1.4985,1.044732734,1.009785917,1.069762069,1.089792669,1.032838595,1.046949443
1.51515,1.044733247,1.009786582,1.069762775,1.089793761,1.032839211,1.046950083
